,accuracy,precision,recall,f1
Logistic Regression,0.7006437768240343,0.7000603202418522,0.7074802742291655,0.7016747113856149
BiLSTM,0.6743562231759657,0.6783913128794747,0.680437994968678,0.6772555480906565
mBERT,0.6571888412017167,0.6741468586350788,0.653857470352261,0.6596325098055162
